X,Y,INF_NOME,MORADA1,FREGUESIA
-9.09536954656264,38.7622841416473,Pavilhão do Conhecimento - Centro Ciência Viva,"['Pavilhão do Conhecimento', ' Largo José Mariano Gago', ' Parque das Nações', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' Portugal']",Parque das Nações
-9.14731588910151,38.7100316725566,Museu da Farmácia,"['Associação Nacional das Farmácias', ' 2', ' Rua de Santa Catarina', ' Santa Catarina', ' São Bento', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1249-069', ' Portugal']",Misericórdia
-9.15824342651057,38.715847065061396,Museu João de Deus,"['Museu João de Deus', ' 69', ' Avenida Pedro Álvares Cabral', ' Santa Isabel', ' Campo de Ourique', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1250-017', ' Portugal']",Campo de Ourique
-9.155741306728869,38.72212746762921,Museu Arpad Szenes - Vieira da Silva,"['56', ' Praça das Amoreiras', ' Rato', ' Santo António', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1250', ' Portugal']",Santo António
-9.15408831677458,38.7356223002457,Museu Calouste Gulbenkian - Coleção Moderna,"['Museu Calouste Gulbenkian - Centro de Arte Moderna', ' Rua Doutor Nicolau de Bettencourt', ' Sete Rios', ' São Sebastião da Pedreira', ' Avenidas Novas', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1050-022', ' Portugal']",Avenidas Novas
-9.1339272453934,38.7129732797604,Núcleo Museológico do Castelo de São Jorge,"['Núcleo Museológico do Castelo de São Jorge', ' Rua das Cozinhas', ' Castelo', ' Mouraria', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-245', ' Portugal']",Santa Maria Maior
-9.17977761053275,38.7498597975833,Museu Nacional da Música,"['Alto dos Moínhos', ' Avenida Lusíada', ' São Domingos de Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1500-359', ' Portugal']",São Domingos de Benfica
-9.14734988674176,38.712615188304504,Museu da Liga dos Combatentes,"['Liga dos Combatentes', ' 18', ' Rua João Pereira da Rosa', ' Bairro Alto', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1249-032', ' Portugal']",Misericórdia
-9.16520794363578,38.7748800586828,Museu Nacional do Traje,"['Palácio Angeja-Palmela', ' 2', ' Estrada do Lumiar', ' Quinta dos Alcoutins', ' Lumiar', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1600-483', ' Portugal']",Lumiar
-9.16117545483439,38.7050366951062,Museu Nacional de Arte Antiga,"['Museu Nacional de Arte Antiga', ' 59', ' Rua das Janelas Verdes', ' Santos-o-Velho', ' Estrela', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1249-017', ' Portugal']",Estrela
-9.14123926051491,38.7084178680048,Museu Nacional de Arte Contemporânea do Chiado,"['Museu Nacional de Arte Contemporânea - Museu do Chiado', ' 4', ' Rua Serpa Pinto', ' Mártires', ' Chiado', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200-444', ' Portugal']",Santa Maria Maior
-9.209236374461991,38.697226992355496,Museu de Marinha,"['Pavilhão das Galeotas', ' Praça do Império', ' Pedrouços', ' Belém', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1400-206', ' Portugal']",Belém
-9.125144945069929,38.7123335107409,Museu do Lactário ,"['Coronel Aboim Ascensão', ' Largo do Museu de Artilharia', ' Santo Estêvão', ' Alfama', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-287', ' Portugal']",Santa Maria Maior
-9.127613395096448,38.711160567892705,Museu do Fado ,"['Museu do Fado', ' 1', ' Largo do Chafariz de Dentro', ' Santo Estêvão', ' Alfama', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-139', ' Portugal']",Santa Maria Maior
-9.153035447244141,38.7376254786903,Museu Calouste Gulbenkian - Coleção Fundador,"['Museu Calouste Gulbenkian', ' Percurso do Lago', ' Sete Rios', ' São Sebastião da Pedreira', ' Avenidas Novas', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1050-150', ' Portugal']",Avenidas Novas
-9.20577110259223,38.6977812642427,Museu Nacional de Arqueologia,"['Mosteiro dos Jerónimos', ' Praça do Império', ' Restelo', ' Belém', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1400-209', ' Portugal']",Belém
-9.15010894535593,38.7174783919509,Museu Nacional de História Natural e da Ciência,"['Entre Tanto', ' 42', ' Rua da Escola Politécnica', ' São Mamede', ' Santo António', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1250-102 SÃO MAMEDE', ' Portugal']",Santo António
-9.149934729683,38.7131371066272,Museu Geológico,"['Academia das Ciências de Lisboa', ' 19', ' Rua da Academia das Ciências', ' Mercês', ' Príncipe Real', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1249-122', ' Portugal']",Misericórdia
