X,Y,OBJECTID,COD_SIG_TR,COD_VIA,DESIGNACAO,HIERARQUIA,EIXO,TIPOLOGIA,SITUACAO,DUPL_TROC,ZONA,COMPRIMENTO,IDTIPO,SITUACAO_PROJ_OBRA,FREGUESIA,ZONAMENTO,ORCAMENTO,NOME_PROJETO,SITUACAO_PROJ,ANO,PERIODO,PLANEAMENTO_GVMG,TIPOLOGIA_AML,ESTADO_AML,F_PRINCIPAL,SGPI,VALIDACAO,GlobalID,Shape__Length
-9.15556996521569,38.7493070478947,1866,B0000154,B0000154,Rua Prof.ª Teresa Ambrósio,Local,,Faixas Cicláveis ou Contrafluxos,Executado,N,-,50.38,9196,,Alvalade,,0, ,,2017,,,Faixa ciclavel,Executado,Via destinada a funcoes quotidianas,,,48631d36-d08c-4464-9d52-8437ff7978e3,64.7177307753586
-9.1573547155643,38.7483700773398,1869,B0000155,B0000155,Rua Branca Edmée Marques,Local,,30+Bici,Executado,S,-,10.62,9196,Empreitada 12/DMPO/DIVPS,Alvalade,Cidade Universitária,0,Rua Branca Edmée Marques,,2017,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,e378d7b4-0969-4c1c-ae89-00942e40da51,13.6078287703281
-9.12827898232382,38.7471057247361,1887,B0000038,B0000038,Parque Urbano do Vale da Montanha,Complementar,,Pista Ciclável Bidirecional,Executado,N,DMEVAE,415.61,9196,Concluído,Marvila,,0,Parque Urbano do Vale da Montanha,Concluído,2018,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,44325f20-f0d2-4d31-8519-daf41d079ad7,532.906408978246
-9.13039678546905,38.7618228410892,1888,B0000081,B0000081,Rua Quinta da Graça,Principal,Circular Exterior,Pista Ciclável Bidirecional,Executado,N,-,100.78,9196,,Alvalade,,0,Jardim do Campo Grande - Parque Vale de Chelas,,2012,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,688efc86-23be-45fd-8c44-feb8e6553cd3,129.107559803419
-9.12938731768666,38.7619375017181,1889,B0000185,B0000185,Rua Quinta da Graça,Principal,,Pista Ciclável Bidirecional,Executado,N,-,57.19,9196,,Alvalade,,0,Jardim do Campo Grande - Parque Vale de Chelas,,2012,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,ac5734e7-7fd7-41ce-98d7-598f85d27dcf,73.4911927273887
-9.19231136414343,38.695950757306,1935,B0000205,B0000205,Troço da Frente Ribeirinha,Local,,Percurso Ciclo-pedonal,Executado,N,-,851.64,9196,,Belém,Frente Ribeirinha,0,Troço ciclável dedicado (entre o Café Inn e a Estação Fluvial de Belém),,-,,,Via banalizada,Executado,Vias mistas (agrega as duas funcoes anteriores),,,c2d4b209-b2d8-4242-a88e-12448e4c8e32,1089.87593691493
-9.16686754656994,38.7577159707415,1938,B0000210,B0000210,Telheiras - Campo Grande (Via Cidade Universitária),Local,,Pista Ciclável Bidirecional,Executado,N,-,184.38,9196,,Lumiar,,0,Telheiras - Campo Grande (Via Cidade Universitária),,-,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,b4e77216-34f6-4fe3-a286-d68d54bd6423,236.520223879175
-9.15690704497329,38.7593599725414,1939,B0000211,B0000211,---- Campo Grande,Principal,Central,Pista Ciclável Bidirecional,Executado,N,-,23.33,9196,,Lumiar,,0, ,,2017,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,9461d803-1cd7-46e2-aeb0-f13399828802,29.9912826809737
-9.19476007935394,38.7554740976651,1970,B0000212,B0000212,Parque Quinta da Granja - Parque Quinta Mata Mouros,Principal,,Pista Ciclável Bidirecional,Executado,N,-,74.61,9196,,Benfica,,0,Parque Quinta da Granja - Parque Quinta Mata Mouros,,2017,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,d2af7745-b934-4502-8a40-3fd7d05b7042,95.8564271296526
-9.15674732760752,38.7371565889854,1972,B0000213,B0000213,Avenida Calouste Gulbenkian - Praça de Espanha,Local,,Pista Ciclável Bidirecional,Executado,N,-,152.18,9196,,Avenidas Novas,,0, ,,2010,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,4954e6c1-3fbb-4fe8-9f5a-7b3af8a88d13,195.039247888185
