X,Y,INF_NOME,INF_DESCRICAO,MORADA1,FREGUESIA
-9.1166536674575,38.756135497470204,Instituto Politécnico de Lisboa - Instituto Superior de Engenharia de Lisboa,Público/Politécnico,"['Átrio Principal - Edifício P', ' Rua Conselheiro Emídio Navarro', ' Chelas', ' Marvila', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1959-007', ' Portugal']",Marvila
-9.12712879532317,38.7131910014719,Escola Superior de Educação de Almeida Garrett,"Privado/Politécnico
","['Palácio de Santa Helena', ' Rua dos Corvos', ' São Vicente', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-616', ' Portugal']",São Vicente
-9.13837464356664,38.723413640315,Instituto Universitário Militar - Academia Militar,Público Militar e Policial/Universitário,"['Capela do Paço Real da Bemposta', ' 21', ' Paço da Rainha', ' Pena', ' Arroios', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1150-227 PENA', ' Portugal']",Arroios
-9.166498834377151,38.7496858613974,Universidade Católica Portuguesa - Faculdade de Teologia,Privado/Universitário,"['Faculdade de Direito da Universidade Católica Portuguesa Escola de Lisboa', ' Eixo Norte-Sul', ' São Domingos de Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1600-028', ' Portugal']",São Domingos de Benfica
-9.14590682139125,38.7244148645944,Universidade Autónoma de Lisboa Luís de Camões,"Privado/Universitário
","['Universidade Autónoma de Lisboa Luís de Camões', ' 56', ' Rua de Santa Marta', ' Coração de Jesus', ' Santo António', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1150-255', ' Portugal']",Santo António
-9.19327738751961,38.7601561328439,Universidade Europeia,"Privado/Universitário
","['Universidade Europeia', ' Estrada da Correia', ' Carnide', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1500-210', ' Portugal']",Carnide
-9.160875278290618,38.7326146480527,Universidade Nova de Lisboa  - Faculdade de Economia,,"['Colégio Almada Negreiros', ' Beco de Estêvão Pinto', ' Campolide', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1099-032 LISBOA', ' Portugal']",Campolide
-9.160875278290618,38.7326146480527,Universidade Nova de Lisboa  - Instituto Superior de Estatística e Gestão de Informação,,"['Colégio Almada Negreiros', ' Beco de Estêvão Pinto', ' Campolide', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1099-032 LISBOA', ' Portugal']",Campolide
-9.12626761459627,38.71201547285229,"ISPA - Instituto Universitário de Ciências Psicológicas, Sociais e da Vida","
","['JOSEIN-Serviços Navegação e Trânsitos Lda (Santa Maria Maior)', ' 74', ' Rua do Jardim do Tabaco', ' Santo Estêvão', ' Alfama', ' Santa Maria Maior', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1100-287', ' Portugal']",Santa Maria Maior
-9.146708786072919,38.7372079674502,Instituto Politécnico de Lisboa - Instituto Superior de Contabilidade e Administração de Lisboa,Público/Politécnico,"['Instituto Superior de Contabilidade e Administração de Lisboa', ' 20', ' Avenida Miguel Bombarda', ' São Sebastião da Pedreira', ' Avenidas Novas', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1051-802', ' Portugal']",Avenidas Novas
